sector,country,date,value
transport,Albania,2009,754.562
transport,Albania,2010,732.789
transport,Albania,2011,768.01
transport,Albania,2012,737.022
transport,Albania,2013,804.074
transport,Albania,2014,833.978
transport,Albania,2015,829.298
transport,Albania,2016,832.543
transport,Albania,2017,831.899
transport,Albania,2018,832.167
transport,Albania,2019,834.858
transport,Albania,2020,603.439
transport,Austria,2009,7911.725
transport,Austria,2010,8163.403
transport,Austria,2011,7874.596
transport,Austria,2012,7792.366
transport,Austria,2013,8294.925
transport,Austria,2014,8228.068
transport,Austria,2015,8464.597
transport,Austria,2016,8598.512
transport,Austria,2017,8724.365
transport,Austria,2018,8836.593
transport,Austria,2019,8835.886
transport,Austria,2020,7728.024
transport,Bosnia and Herzegovina,2014,988.905
transport,Bosnia and Herzegovina,2015,1030.976
transport,Bosnia and Herzegovina,2016,1196.912
transport,Bosnia and Herzegovina,2017,1248.92
transport,Bosnia and Herzegovina,2018,1238.269
transport,Bosnia and Herzegovina,2019,1322.151
transport,Bosnia and Herzegovina,2020,1195.818
transport,Belgium,2009,8983.816
transport,Belgium,2010,8942.501
transport,Belgium,2011,8799.874
transport,Belgium,2012,8542.173
transport,Belgium,2013,8387.048
transport,Belgium,2014,8520.783
transport,Belgium,2015,8910.586
transport,Belgium,2016,9010.348
transport,Belgium,2017,8858.129
transport,Belgium,2018,8897.132
transport,Belgium,2019,8835.707
transport,Belgium,2020,7764.756
transport,Bulgaria,2009,2761.501
transport,Bulgaria,2010,2694.753
transport,Bulgaria,2011,2759.922
transport,Bulgaria,2012,2914.39
transport,Bulgaria,2013,2620.341
transport,Bulgaria,2014,2916.487
transport,Bulgaria,2015,3211.585
transport,Bulgaria,2016,3268.077
transport,Bulgaria,2017,3324.915
transport,Bulgaria,2018,3372.188
transport,Bulgaria,2019,3409.544
transport,Bulgaria,2020,3215.317
transport,Cyprus,2009,749.52
transport,Cyprus,2010,765.447
transport,Cyprus,2011,744.315
transport,Cyprus,2012,687.941
