year,source,target,value
2011,electricity_imports,Belgium,13189.0
2012,electricity_imports,Belgium,16848.0
2013,electricity_imports,Belgium,17243.0
2014,electricity_imports,Belgium,21791.0
2015,electricity_imports,Belgium,23714.0
2016,electricity_imports,Belgium,14648.0
2017,electricity_imports,Belgium,14189.4
2018,electricity_imports,Belgium,21635.9
2019,electricity_imports,Belgium,12734.4
2020,electricity_imports,Belgium,13721.9
total,electricity_imports,Belgium,169714.6
2011,electricity_imports,Bulgaria,1449.0
2012,electricity_imports,Bulgaria,2353.0
2013,electricity_imports,Bulgaria,3351.0
2014,electricity_imports,Bulgaria,4319.0
2015,electricity_imports,Bulgaria,4251.0
2016,electricity_imports,Bulgaria,4568.0
2017,electricity_imports,Bulgaria,3705.423
2018,electricity_imports,Bulgaria,2222.726
2019,electricity_imports,Bulgaria,3044.947
2020,electricity_imports,Bulgaria,3706.736
total,electricity_imports,Bulgaria,32970.832
2011,electricity_imports,Czechia,10457.0
2012,electricity_imports,Czechia,11587.0
2013,electricity_imports,Czechia,10571.0
2014,electricity_imports,Czechia,11842.0
2015,electricity_imports,Czechia,16146.0
2016,electricity_imports,Czechia,13817.0
2017,electricity_imports,Czechia,15071.999
2018,electricity_imports,Czechia,11573.41
2019,electricity_imports,Czechia,11026.213
2020,electricity_imports,Czechia,13368.051
total,electricity_imports,Czechia,125459.673
2011,electricity_imports,Denmark,11694.0
2012,electricity_imports,Denmark,15920.0
2013,electricity_imports,Denmark,11459.0
2014,electricity_imports,Denmark,12702.0
2015,electricity_imports,Denmark,15644.747
2016,electricity_imports,Denmark,14976.458
2017,electricity_imports,Denmark,15218.109
2018,electricity_imports,Denmark,15633.609
2019,electricity_imports,Denmark,15981.899
2020,electricity_imports,Denmark,18593.972
total,electricity_imports,Denmark,147823.794
2011,electricity_imports,Germany (until 1990 former territory of the FRG),51003.0
2012,electricity_imports,Germany (until 1990 former territory of the FRG),46268.0
2013,electricity_imports,Germany (until 1990 former territory of the FRG),39222.0
2014,electricity_imports,Germany (until 1990 former territory of the FRG),40435.0
2015,electricity_imports,Germany (until 1990 former territory of the FRG),37008.0
2016,electricity_imports,Germany (until 1990 former territory of the FRG),28338.0
2017,electricity_imports,Germany (until 1990 former territory of the FRG),27842.0
2018,electricity_imports,Germany (until 1990 former territory of the FRG),31727.0
2019,electricity_imports,Germany (until 1990 former territory of the FRG),40126.0
2020,electricity_imports,Germany (until 1990 former territory of the FRG),47853.0
total,electricity_imports,Germany (until 1990 former territory of the FRG),389822.0
2011,electricity_imports,Estonia,1690.0
2012,electricity_imports,Estonia,2710.0
2013,electricity_imports,Estonia,2712.0
2014,electricity_imports,Estonia,3730.0
2015,electricity_imports,Estonia,5452.0
2016,electricity_imports,Estonia,3577.0
2017,electricity_imports,Estonia,2281.0
2018,electricity_imports,Estonia,3053.0
2019,electricity_imports,Estonia,4861.0
2020,electricity_imports,Estonia,7367.0
total,electricity_imports,Estonia,37433.0
2011,electricity_imports,Ireland,731.622
2012,electricity_imports,Ireland,783.605
2013,electricity_imports,Ireland,2625.164
2014,electricity_imports,Ireland,2853.015
2015,electricity_imports,Ireland,1751.975
2016,electricity_imports,Ireland,871.263
2017,electricity_imports,Ireland,1116.408
2018,electricity_imports,Ireland,1621.519
2019,electricity_imports,Ireland,2179.579
2020,electricity_imports,Ireland,1761.112
total,electricity_imports,Ireland,16295.262
2011,electricity_imports,Greece,7180.0
2012,electricity_imports,Greece,5954.0
2013,electricity_imports,Greece,5788.0
2014,electricity_imports,Greece,9461.0
2015,electricity_imports,Greece,11081.0
2016,electricity_imports,Greece,9833.0
2017,electricity_imports,Greece,8696.0
2018,electricity_imports,Greece,8550.0
2019,electricity_imports,Greece,11067.0
2020,electricity_imports,Greece,9831.0
total,electricity_imports,Greece,87441.0
2011,electricity_imports,Spain,7932.0
2012,electricity_imports,Spain,7787.0
2013,electricity_imports,Spain,9887.0
2014,electricity_imports,Spain,12310.0
2015,electricity_imports,Spain,14956.0
2016,electricity_imports,Spain,21845.0
2017,electricity_imports,Spain,23762.0
2018,electricity_imports,Spain,24018.0
2019,electricity_imports,Spain,18720.84
2020,electricity_imports,Spain,17928.364
total,electricity_imports,Spain,159146.204
2011,electricity_imports,France,9501.0
2012,electricity_imports,France,12213.0
2013,electricity_imports,France,11687.0
2014,electricity_imports,France,7873.0
2015,electricity_imports,France,9961.0
2016,electricity_imports,France,19903.0
2017,electricity_imports,France,21119.18
2018,electricity_imports,France,13512.09
2019,electricity_imports,France,15631.75
2020,electricity_imports,France,19536.102
total,electricity_imports,France,140937.122
2011,electricity_imports,Croatia,13985.0
2012,electricity_imports,Croatia,13174.0
2013,electricity_imports,Croatia,11260.0
2014,electricity_imports,Croatia,10898.0
2015,electricity_imports,Croatia,13158.0
2016,electricity_imports,Croatia,12398.0
2017,electricity_imports,Croatia,12157.9
2018,electricity_imports,Croatia,12693.4
2019,electricity_imports,Croatia,11400.8
2020,electricity_imports,Croatia,10491.0
total,electricity_imports,Croatia,121616.1
2011,electricity_imports,Italy,47519.0
2012,electricity_imports,Italy,45407.0
2013,electricity_imports,Italy,44338.0
2014,electricity_imports,Italy,46747.0
